date;setor;codigo;acao;tipo;qtde_teorica;part_percent;part_acum_percent
20/03/2025;Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1243177587.0;2.812;2.812
20/03/2025;Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734631801.0;2.737;2.958
20/03/2025;Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;666378439.0;0.221;2.958
20/03/2025;Bens Indls/Transporte;AZUL4;AZUL;PN      N2;326872005.0;0.058;2.2
20/03/2025;Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;991920937.0;0.563;2.2
20/03/2025;Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1216914397.0;1.041;2.2
20/03/2025;Bens Indls/Transporte;STBP3;SANTOS BRP;ON      NM;855712622.0;0.538;2.2
20/03/2025;Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;814523002.0;0.749;3.288
20/03/2025;Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1145962972.0;2.107;3.288
20/03/2025;Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;302019876.0;0.227;3.288
20/03/2025;Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261359935.0;0.069;3.288
20/03/2025;Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;128130966.0;0.136;3.288
20/03/2025;Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON  ED;4394835131.0;2.825;2.825
20/03/2025;Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1345832968.0;0.489;0.731
20/03/2025;Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;532664283.0;0.186;0.731
20/03/2025;Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;462534972.0;0.056;0.731
20/03/2025;Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;850935197.0;0.395;0.395
