date;setor;codigo;acao;tipo;qtde_teorica;part_percent;part_acum_percent
18/03/2025;Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1243177587.0;2.819;2.819
18/03/2025;Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734631801.0;2.706;2.925
18/03/2025;Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;666378439.0;0.219;2.925
18/03/2025;Bens Indls/Transporte;AZUL4;AZUL;PN      N2;326872005.0;0.059;2.227
18/03/2025;Bens Indls/Transporte;CCRO3;CCR SA;ON      NM;991920937.0;0.571;2.227
18/03/2025;Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1216914397.0;1.052;2.227
18/03/2025;Bens Indls/Transporte;STBP3;SANTOS BRP;ON  ED  NM;855712622.0;0.545;2.227
18/03/2025;Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;814523002.0;0.71;2.911
18/03/2025;Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1145962972.0;1.786;2.911
18/03/2025;Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;302019876.0;0.213;2.911
18/03/2025;Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261359935.0;0.067;2.911
18/03/2025;Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;128130966.0;0.135;2.911
18/03/2025;Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON  ED;4394835131.0;2.838;2.838
18/03/2025;Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1345832968.0;0.495;0.736
18/03/2025;Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;532664283.0;0.188;0.736
18/03/2025;Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;462534972.0;0.053;0.736
18/03/2025;Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;850935197.0;0.372;0.372
